期号_源,期号_目标,Top1_命中,Top2_命中,Top3_命中,Top4_命中,Top5_命中,补漏6_命中,后区_命中,号码池_命中数,号码池_命中率,Top5_联合覆盖,Top5+补漏6_联合覆盖,补漏6_增补,Top1_号码,Top2_号码,Top3_号码,Top4_号码,Top5_号码,补漏6_号码,目标前区,目标后区
2025101,2025111,1,0,0,0,0,1,1,3,60.0%,1,2,1,"5 6 21 30 32","5 20 22 25 31","5 6 18 22 27","5 6 17 32 35","5 6 20 28 32","2 7 10 12 15","2 9 14 21 26","2 12"
2025102,2025112,0,0,1,1,0,2,1,4,80.0%,2,4,2,"10 11 13 26 29","12 14 26 30 31","4 10 11 22 26","3 10 11 16 29","2 10 11 20 26","1 6 9 21 23","3 4 21 23 24","9 12"
2025103,2025113,0,0,1,1,1,0,2,4,80.0%,3,3,0,"4 8 20 32 33","5 22 31 33 34","4 18 21 30 32","10 14 32 33 34","4 8 20 32 35","2 3 11 12 24","1 14 18 28 35","2 3"
2025104,2025114,1,0,0,0,0,2,1,4,80.0%,1,3,2,"4 5 8 22 26","4 6 20 21 32","2 4 21 30 34","4 14 20 31 32","4 6 22 30 35","1 3 10 12 24","3 8 9 12 15","1 5"
2025105,2025115,1,2,1,1,1,1,1,3,60.0%,2,3,1,"12 15 18 26 34","11 12 14 28 30","12 15 16 24 32","5 11 12 20 25","12 13 15 28 31","10 22 23 33 35","3 12 14 21 35","1 5"
2025106,2025116,0,1,1,1,2,0,2,4,80.0%,4,4,0,"5 10 13 21 26","5 11 22 30 31","1 5 13 29 32","2 5 11 13 28","6 13 21 22 25","3 4 9 12 27","2 6 16 22 29","8 12"
2025107,2025117,2,1,1,1,0,1,0,3,60.0%,2,3,1,"5 6 18 32 34","5 7 13 16 31","5 6 17 30 33","3 5 8 31 32","13 20 31 32 35","9 10 11 12 15","5 10 18 21 29","6 7"
2025108,2025118,0,0,1,1,0,1,2,3,60.0%,2,3,1,"11 18 20 32 34","10 11 22 24 28","11 15 21 29 30","8 10 11 19 31","1 10 11 19 25","9 13 14 17 23","2 8 9 12 21","4 5"
2025109,2025119,1,0,1,0,0,0,0,2,40.0%,2,2,0,"10 12 14 26 31","13 18 22 24 30","2 8 10 11 20","9 10 23 26 28","4 5 10 26 28","1 3 6 7 21","8 15 27 29 31","1 7"
2025110,2025120,0,1,3,0,0,1,1,5,100.0%,4,5,1,"2 5 21 30 31","1 11 15 20 32","13 18 21 22 35","12 21 25 30 31","15 21 28 32 33","3 10 26 29 34","11 13 22 26 35","2 8"
2025111,2025121,0,1,2,0,1,0,0,4,80.0%,4,4,0,"10 11 14 26 32","1 12 21 22 31","2 11 13 25 26","11 20 24 26 32","3 9 11 26 32","4 15 16 19 23","2 3 8 13 21","7 12"
2025112,2025122,1,1,0,0,0,1,1,3,60.0%,2,3,1,"1 3 21 22 25","1 2 4 26 28","1 5 21 23 24","1 22 23 31 34","13 21 22 24 33","6 11 14 19 20","2 3 6 16 17","4 5"
