期号,池覆盖,Top1,Top2,Top3,Top4,Top5,补漏6,后区,Top5联合,Top5+补漏6联合
2025111,3,1,0,0,0,0,1,1,1,2
2025112,4,0,0,1,1,0,2,0,2,4
2025113,4,0,0,1,1,1,0,2,3,3
2025114,4,1,0,0,0,0,2,2,1,3
2025115,3,1,2,1,1,1,1,2,2,3
2025116,4,0,1,1,1,2,0,0,4,4
2025117,3,2,1,1,1,0,1,0,2,3
2025118,3,0,0,1,1,0,1,2,2,3
2025119,2,1,0,1,0,0,0,1,2,2
2025120,5,0,1,3,0,0,1,1,4,5
2025121,4,0,1,2,0,1,0,0,4,4
2025122,3,1,1,0,0,0,1,1,2,3
2025123,4,0,0,1,2,0,1,1,3,4
2025124,3,2,1,1,1,1,0,1,2,2
2025125,3,0,2,1,0,0,0,1,3,3
2025126,2,0,0,0,0,0,1,0,0,1
2025127,5,1,0,1,1,1,2,0,1,3
2025128,2,0,1,0,0,0,1,0,1,2
2025129,4,1,2,1,1,1,1,2,2,3
2025130,3,1,0,1,0,1,1,1,2,3
